Organization.Location.1,Organization.Location.2,Organization.Location.3,Organization.Location.4,Organization.Location.5,Location
The University of Adelaide,,The University of Adelaide,"North Adelaide, South Australia, Australia",,"Adelaide, Australia"
THE TIMES OF INDIA,,,,,"New Delhi Area, India"
The Nossal Institute,,,,,"Melbourne, Australia"
The Netherlands,"Amsterdam Area, Netherlands",,,,"Amsterdam Area, Netherlands"
The Maternal Newborn Child & Youth Strategic Clinical Network,"Calgary, Canada Area","Calgary, Canada Area","Nanjing, Jiangsu, China","Nanjing, Jiangsu, China",Canada
The Innovation Centre  Bay Road  Derry   Royal Bldgs  1 3 Arthur Street  Belfast,Belfast,Derry / Belfast,"Belfast, United Kingdom","NI Assembly, Belfast",Ireland
The Hague    Netherlands,New York; Paris; London,The Hague,Phnom Penh; Toronto,Ottawa; Toronto,"The Hague Area, Netherlands"
The Hague    Netherlands,"The Hague Area, Netherlands","The Hague Area, Netherlands",,"Haarlem Area, Netherlands","Amsterdam Area, Netherlands"
The Hague    Netherlands,"The Hague Area, Netherlands","The Hague Area, Netherlands","Rotterdam, The Netherlands & Hamburg, Germany",,"Amsterdam Area, Netherlands"
The Hague    Netherlands,New York; Paris; London,The Hague,Phnom Penh; Toronto,Ottawa; Toronto,"The Hague Area, Netherlands"
The Hague    Netherlands,"London, United Kingdom","Reading, United Kingdom","Vancouver, Canada Area","Vancouver, BC","London, Greater London, United Kingdom"
The Hague    Netherlands,"Sarnia, ON","Dubai, United Arab Emirates","Sarnia, ON","Bridgeview Public School, Point Edward","Bloemendaal, North Holland Province, Netherlands"
The Hague    Netherlands,"The Hague Area, Netherlands",Singapore,"Melbourne, Australia","Melbourne, Australia","Duinoord, Zorgvliet, North Brabant Province, Netherlands"
The Hague    Netherlands,"5 Belyakov street, Yerevan, Armenia","Yerevan , Armenia","1 American Avenue, Yerevan, Armenia","Ministry of Foreign Affairs Government House #2, Republic Square, Yerevan 0010,","Warsaw, Masovian District, Poland"
The Hague,,,,,"Breda Area, Netherlands"
The globe,,,"London, United Kingdom","Seoul, Korea",Other
The Children's Hospital Mumabi,,,,,"Mumbai, Maharashtra, India"
The Army Inspectorate,"1st Regiment, The Royal Logistic Corps",United States' Security Coordinator (Israel & occupied Palestinian Territories),"13th Air Assault Support Regiment, 47th Air Despatch Squadron","Recruiting Group, Army Recruitment and Training Division","Amport, Hampshire, United Kingdom"
The Antwerp University Hospital,,,,,"Guntur, Andhra Pradesh, India"
The Adyar River  Chennai,"Chennai Area, India","Delft Area, Netherlands","Kolkata Area, India","Chennai Area, India","Chennai Area, India"
Thanjavur    India,,,,,"Thanjavur, Tamil Nadu, India"
THANE  MUMBAI  INDIA,"Thane - Mumbai Area, India","Pune Area, India","Mumbai Area, India","Pune Area, India","Thane, Maharashtra, India"
Thane  Maharashtra  India,,,,,"Mumbai, Maharashtra, India"
Thane  Maharashtra  India,"Faridabad Area, India","Faridabad Area, India","Bristol, United Kingdom","New Delhi Area, India","Thane, Maharashtra, India"
Thane  Maharashtra  India,"Palm beach road, Navi Mumbai",Navi Mumbai,"Mumbai Area, India",,"Mumbai, Maharashtra, India"
Thane  India,"Birmingham, United Kingdom","Birmingham, United Kingdom",,,"Mumbai, Maharashtra, India"
Thane city  India,"Brisbane, Australia",,,,"Thane, Maharashtra, India"
Thane,,,,,"Thane, Maharashtra, India"
Thane,Pune,Baroda,,,"Pune, Maharashtra, India"
Thane,,,,,"Mumbai Area, India"
Thailand,Research Triangle Park,"National Defense University, Fort McNair, Washington, DC",Washington D.C. Metro Area,Kenan-Biddle Partnership Grant,"Charlotte, North Carolina"
Thailand,Thailand,Thailand,Thailand,Thailand,"Bangkok Metropolitan Area, Thailand"
Thailand,India,United States,Canada,Canada,"Bangkok Metropolitan Area, Thailand"
Thailand,Hong Kong,Hong Kong,Queen's University,"183 University Avenue, Kingston, ON",Thailand
Thailand,Singapore,"Dubai, United Arab Emirates","Mumbai Area, India",India,Singapore
Thailand,,,,,Thailand
Thailand,Research Triangle Park,"National Defense University, Fort McNair, Washington, DC",Washington D.C. Metro Area,Kenan-Biddle Partnership Grant,"Charlotte, North Carolina"
Thailand,,Thailand,Thailand and India,Thailand,Thailand
TFDL Library,612 Campus Place NW,"Calgary, Canada Area","Calgary, Canada Area","Mumbai Area, India","Calgary, Canada Area"
Tezpur    India,,,,,"Auckland, New Zealand"
Tetbury,Helensburgh,"Bridge of Don, Aberdeen",,,"Helensburgh, Argyll and Bute, United Kingdom"
Tesco HSC Bangalore,"Yogi Enterprises, Madurai",Bangalore,"Gurgaon, India",,"Bengaluru, Karnataka, India"
Terrace  BC,"Brantford, ON","Akita, Japan","Ogata, Japan","Ottawa, Canada Area","British Columbia, Canada"
Terrace bay,,,,,"Terrace Bay, Ontario, Canada"
Tengiz,"Astana, Kazakhstan","Atyrau, Kazakhstan","Astana, Kazakhstan","Almaty, Kazakhstan",Kazakhstan
Tempe  Arizona,"Phoenix, Arizona Area","Phoenix, Arizona Area","Tempe, Arizona","Phoenix, Arizona Area","Phoenix, Arizona Area"
Telfer school of Management,India,India,India,,Canada
Tel Aviv  Israel,,,"jerusalem, israel","Jerusalem, israel",Israel
Tel Aviv    Israel,"Tel Aviv Area, Israel","Tel Aviv Area, Israel","Geneva Area, Switzerland","Geneva Area, Switzerland","Tel Aviv - Jaffa, Tel Aviv District, Israel"
Tel Aviv    Israel,"Beersheba, Israel",Japan,,,Israel
Tel Aviv    Israel,"Ramat HaSharon Area, Israel","Tel Aviv Area, Israel","Tel Aviv Area, Israel","Melbourne, Australia","Tel Aviv - Jaffa, Tel Aviv District, Israel"
Tel Aviv    Israel,"Doha, Qatar",Doha,Sultanate of Oman,Malaysia,Qatar
Tel Aviv,"Herzliya, Israel",Tel Aviv,Tel Aviv and New York,,Israel
Tel Aviv,"Haifa, Israel","Graduate School of Business Administration, Tel Aviv",,,Israel
Tel Aviv,"Tel Aviv, Israel",Tel Aviv,Tel Aviv,New York City,Israel
Tehran Iran,Iran,"Tehran,Iran",tehran.iran,Iran,Iran
Tehran Province  Iran,"Tehran Province, Iran",Tehran,Tehran,Tehran,Iran
Tehran Province  Iran,"Tehran Province, Iran","Tehran, Iran.",Iran,"Tehran Province, Iran",Iran
Tehran Province  Iran,"Tehran Province, Iran","Tehran Province, Iran","Ahwaz, Iran",,Iran
Tehran Province  Iran,"Tehran, Iran","Dubai , United Arab Emirates","Malaysia , Singapore","Singapore , Malaysia",Iran
Tehran,Kish Island,United Arab Emirates,Australia,Australia,"Adelaide, South Australia, Australia"
TEDx Sjcet palai,"TEDX PCCOE Pune, Maharashtra, India","Nagpur Area, India","Nagpur Area, India","Nagpur, Maharashtra, India","Durg, Chattisgarh, India"
Teddington  UK,"London, United Kingdom","London, United Kingdom","London, United Kingdom","London, United Kingdom","Teddington, Greater London, United Kingdom"
Teddington (UK),Teddington (UK),Teddington (UK),Teddington (UK),Teddington (UK),"Twickenham, United Kingdom"
Tecoma  Victoria  Australia,,,,,"Melbourne, Australia"
Teatro Building  200 8 Ave SE  Calgary Alberta,"Calgary, Canada Area","Red Deer, Alberta, Canada","Malmo, Sweden","Malmo, Sweden","Calgary, Canada Area"
Tbilisi  Georgia,"Dubai, UAE",Dubai,Dubai,Dubai / London,United Arab Emirates
TAYNA Events Pvt. Ltd  H.No 180  1st Floor  Old Nehru Colony  Dehradun,,,,,"South Delhi, Delhi, India"
Taylor Family Digital Library,"Gurgaon, India","Gurgaon, India",,,"Prince Albert, Saskatchewan, Canada"
Tauranga   New Zealand,"Greater Jakarta Area, Indonesia","Vishakhapatnam Area, India","Auckland, New Zealand","Auckland, New Zealand","Auckland, New Zealand"
Tasmania  Australia,Gippsland,The Kimberleys,,Macquarie Island,"Macquarie Island, Tasmania, Australia"
Tasmania  Australia,"Brisbane, Australia","Mackay, Australia","Mackay, Australia",,"Launceston, Tasmania, Australia"
Tashkent  Uzbekistan,"Tashkent, Uzbekistan","Berlin, Germany",,,Uzbekistan
Tartu  Estonia,"Tallinn, Estonia","Tartu, Estonia","Tartu, Estonia",,Estonia
Tarrytown  NY,"Tarrytown, NY","Whippany, NJ","North Wales, PA","North Wales, PA","Basking Ridge, New Jersey"
Tarrytown  NY,"Ingelheim am Rhein, Germany","Ridgefield, CT",,,Greater New York City Area
Taren Point,"Double Bay, New South Wales, Australia","Sydney, Australia","Kensington, NSW","Kensington, NSW, Australia","Kensington, New South Wales, Australia"
Taree  NSW,"Coonamble, NSW","Newcastle, Australia","Newcastle, Australia","Newcastle, Australia","Newcastle, Australia"
Tardeo,,,,,"Mumbai, Maharashtra, India"
Tapei,"Canberra, Australia","Canberra, Australia",,Singapore,"Canberra Bc, Australian Capital Territory, Australia"
Tanzania  Somalia  Ghana  Burundi  Rwanda  S Africa  Cambodia  Laos  Vietnam,"Pretoria, South Africa  +  Washington DC, USA","Phnom Penh, Cambodia","Vancouver, Canada Area","United States, Canada, Australia, United Kingdom",Cambodia
Tanzania,Dar Es Salaam,Dar es Salaam,,,Tanzania
Tanzania,Greater New York City Area,Greater New York City Area,"Mali, Benin, Senegal, Bolivia, Laos PDR and USA",West Africa and New York,Tanzania
Tanzania,Tanzania,,,,"Kollam, Kerala, India"
Tanzania,Tanzania,,"Kuala Lumpur, Malaysia",,Tanzania
Tanzania,Kenya,"Sídney y alrededores, Australia",,,"Valencia, Valencian Community, Spain"
Tanzania,"Nairobi, Kenya",Tanzania,Kenya,Tanzania,Tanzania
Tanzania,,Mumbai,Mumbai and Baroda,,"Mumbai Area, India"
Tanjung Benoa  Bali,"Tanjung Benoa, Bali","Tuban, East Java","Tuban, East Java","Tuban, East Java","Denpasar Area, Bali, Indonesia"
Tamworth  NSW  Australia,"Canberra, Australia","Canberra, Australia","Sydney, Australia","University of Technology, Sydney","Sydney, Australia"
Tampere    Finland,"Tampere, Finland","Bangalore, India","Brisbane, Australia","Brisbane, Australia","Tampere Area, Finland"
Tampere    Finland,Finland,Finland,"Nova Dubnica, Slovak Republic","Shanghai City, China","Tampere, Western and Central Finland, Finland"
Tampa St. Petersburg  Florida  ,"St Pete Beach, FL",,"Clearwater, FL",,"Saint Petersburg, Florida"
Tampa St. Petersburg  Florida  ,"Hyderabad Area, India",Hyderabad,"Hyderabad Area, India",Hyderabad,"Hyderabad, Telangana, India"
Tampa St. Petersburg  Florida  ,"Halifax, Canada Area",,"Kingston, Canada","Bellville, Canada",Canada
Tampa  Florida,"Tampa/St. Petersburg, Florida Area",Global,"Tampa/St. Petersburg, Florida Area","Tampa/St. Petersburg, Florida Area","Tampa/St. Petersburg, Florida Area"
Tamil Nadu  India,"Kingston, Ontario","Kingston, Ontario",Algonquin Park,"Tamil Nadu, India","Toronto, Ontario, Canada"
Tamil Nadu,,,,,"Coimbatore, Tamil Nadu, India"
Tamil Nadu,"Madurai Area, India",Karnataka,"Trichur Area, India","Madurai Area, India","Thrissur, Kerala, India"
TALEGAON PUNE,"Tarapur,Boisar","Pune Area, India",,"SALAV, ALIBAUG,","Pune, Maharashtra, India"
Takure  Shindhpalchowk  Nepal,"Takure, Nepal/ Remote","Lafayette, Colorado",Greater Denver Area,"Niwot, Colorado",Greater Denver Area
Tajikistan  Kyrgyzstan  Georgia  Azerbaijan.,"Dushanbe, Tajikistan","Dushanbe, Tajikistan","Dushanbe, Tajikistan","Dushanbe, Tajikistan",Tajikistan
Taiwan  Portugal  Goa  Mysore  Canada,,,,,"South Goa, Goa, India"
Taiwan,,,,,"Bengaluru, Karnataka, India"
Taiwan,,,,,Singapore
Taiwan,Singapore,,,,"Taipei City, Taiwan"
Taipei City  Taiwan,Sydney,,,Sydney,Taiwan
Taipei City  Taiwan,"New York, New York","Taipei City, Taiwan","Taipei City, Taiwan",,"Taipei City, Taiwan"
Taipei City  Taiwan,Singapore,Singapore,Singapore,Singapore,Singapore
Taipei City  Taiwan,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Taiwan
Taipei City  Taiwan,"Sydney, Australia",,"Sydney, Australia",,Taiwan
Taipei City  Taiwan,"Taipei City, Taiwan",,"Taipei City, Taiwan",,Taiwan
Taipei,"Shanghai City, China",Taipei,"Wellington & Wairarapa, New Zealand","British High Commission, Wellington, New Zealand","Taipei City, Taiwan"
Taipei,"Kaohsiung, Taiwan",,,,"Taipei City, Taiwan"
Taichung City  Taiwan,"Taichung City, Taiwan","Taichung City, Taiwan","Taichung City, Taiwan","Taichung City, Taiwan","Taichung City, Taiwan"
Taguig City  Metro Manila  Philippines,,,,,"NCR - National Capital Region, Philippines"
TAG Farnborough Airport,,,Dubai,Dubai,United Kingdom
TAFE Queensland Online,"Sunshine Coast Mc, Queensland, Australia","Cairns, Queensland, Australia",,,"Tanawha, Queensland, Australia"
Taejon  South Korea,"South Plainfield, NJ","South San Francisco, CA","Corvallis, OR","Taejon, South Korea",Korea
Tübingen    Germany,San Francisco Bay Area,"Vancouver, Canada Area","Vancouver, Canada Area","Montreal, Canada Area","Tübingen, Baden-Württemberg, Germany"
T.Nagar,,"Mumbai Area, India",,,"Chennai Area, India"
T.Nagar,,"Mumbai Area, India",,,"Chennai Area, India"
T.Nagar,T.Nagar,"T.Nagar, Chennai","T.Nagar, Chennai",,"Chennai Area, India"
Sydney. Beijing.,Thailand,"Beijing City, China","Beijing City, China","Chaoyang District, Beijing, China","Chaoyang District, Beijing, China"
Sydney  NSW,,,,,"Sydney, Australia"
Sydney  NSW,"Sydney, Australia",http://www.isaca.org.au/index.php?module=htmlpages&func=display&pid=7,,,"Sydney, New South Wales, Australia"
Sydney  Nova Scotia,"Sydney, Nova Scotia (formerly Halifax, Nova Scotia)","Sydney, Nova Scotia","Hyderabad Area, India",,"Nova Scotia, Canada"
Sydney  New South Wales  Australia,"Sydney, New South Wales, Australia","Sydney, Australia","Mumbai Area, India",,"Sydney, Australia"
Sydney  New South Wales  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  New South Wales  Australia,Syndey International Airport,,,,"Rosebery, New South Wales, Australia"
Sydney  New South Wales  Australia,"Toronto, Canada Area","Ottawa, Canada Area","Nyeri, Kenya","Ottawa, Canada Area","North Sydney, New South Wales, Australia"
Sydney  New South Wales  Australia,"Sydney, Australia",,,,"Sydney, Australia"
Sydney  Melbourne  Perth  Adelaide & Brisbane.,,"Melbourne, Australia","Melbourne, Australia",,"Sydney, Australia"
Sydney  Melbourne  Brisbane  Canberra  Perth  Adelaide & Around the Globe,"30 Cowper Street, Parramatta NSW 2150 Australia","30 Cowper Street, Parramatta, NSW 2150","Parramatta, NSW 2150","30 Cowper St, Parramatta NSW 2150","Parramatta, New South Wales, Australia"
Sydney  Blue Mountains  Adelaide  Melbourne  Brisbane,"Sydney, Australia","Sydney, Australia","Sydney Institute, Ultimo",Surry Hills,"Sydney, Australia"
Sydney  Beijing & Shanghai,"Beijing City, China","Beijing City, China",Sydney & Beijing,Sydney,"Chaoyang District, Beijing, China"
Sydney  Australia  Blantyre  Malawi  London England,"Across Malawi and Uganda, Africa","Sydney, Australia",Cambodia,Port Kembla Steelworks,"Sydney, Australia"
Sydney  Australia & Mumbai  India,"Sydney, Australia","Sydney, Australia",,,"Sydney, Australia"
Sydney  Australia,"Auckland, New Zealand","Auckland, New Zealand","Auckland, New Zealand","Auckland, New Zealand","Sydney, Australia"
Sydney  Australia,"Paris Area, France",New Zealand,,,"Hyderabad, Telangana, India"
Sydney  Australia,"Sydney, Australia",,,,"Sydney, Australia"
Sydney  Australia,Sydney,"Sydney, Australia","Sydney, Australia",Auckland & Sydney,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Melbourne, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,Singapore,"Dubai, UAE",Dubai UAE,"London, United Kingdom",Australia
Sydney  Australia,"Sydney, Australia","Auckland, New Zealand","Auckland, New Zealand","Auckland, NZ","Macquarie Park, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Auckland, New Zealand","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,,,Australia
Sydney  Australia,"Sydney, Australia","Brisbane, Australia",Toowong,"Brisbane, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,"Sydney Area, Australia","Sydney, Australia","North Sydney, New South Wales, Australia"
Sydney  Australia,"London, United Kingdom","London, United Kingdom","Montreal, Canada","Traveling abroad - Australia, USA, Canada","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney Area, Australia","Sydney Area, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Auckland, New Zealand","Auckland, New Zealand","Sydney, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Auckland, New Zealand","Sydney, Australia","Sydney Area, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney Area, Australia and London, U.K.","Mumbai Area, India","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Auckland, New Zealand","Sydney, Australia","Sydney, Australia","Freshwater, New South Wales, Australia"
Sydney  Australia,Sydney,"Canberra, Australia",New Zealand,,"Sydney, Australia"
Sydney  Australia,"NSW, VIC, QLD, WA, SA","Sydney, Australia",HP South Pacific,"Sydney, Australia","Maroubra, New South Wales, Australia"
sydney  australia,"Tokyo, Japan","Auckland, New Zealand","Auckland, New Zealand","Auckland, New Zealand","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",United States,"Barcelona Area, Spain"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Auckland, New Zealand","Sydney, Australia"
Sydney  Australia,"London, United Kingdom","New York, New York","Auckland, New Zealand",Auckland,Australia
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",Sydney,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Canberra, Australia","Sydney, Australia",Sydney Australia,"Sydney, Australia"
Sydney  Australia,"Parkes, NSW, Australia","Brisbane, QLD, Australia.","Melbourne, Australia","Auckland, New Zealand","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","London, United Kingdom","London, United Kingdom","London, United Kingdom","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,,Sydney,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Gurgaon, India","New Delhi Area, India","Gurgaon, India"
Sydney  Australia,"Melbourne, Australia","Melbourne, Australia","Bengaluru Area, India",,"Bengaluru, Karnataka, India"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",,"Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",Singapore,"Canberra, Australia","Canberra, Australia","Sydney, Australia"
Sydney  Australia,"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia","Arnhem, The Netherlands","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Mumbai Area, India",Mumbai,"Perth, Australia"
Sydney  Australia,"Melbourne, Australia","Melbourne, Australia","Bengaluru Area, India",,"Bengaluru, Karnataka, India"
Sydney  Australia,"Sydney, Australia",Singapore,"Canberra, Australia","Canberra, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",,"Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia","Arnhem, The Netherlands","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,,,"Sydney, Australia"
Sydney  Australia,,,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Pyeongchang-gun, Gangwon-do, Korea","Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,,,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",Global,"Sydney, Australia",Sydney,"Sydney, Australia"
Sydney  Australia,"Durham, NC",,,New Orleans,"Durham, North Carolina"
Sydney  Australia,"Sydney, Australia",London / Sydney,,,"Sydney, Australia"
Sydney  Australia,"Edinburgh, United Kingdom",Edinburgh,"Glasgow, United Kingdom",,"Surry Hills, New South Wales, Australia"
Sydney  Australia,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",,"Edinburgh, United Kingdom","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Canberra, Australia","Paris Area, France","Sydney, Australia"
Sydney  Australia,"Chennai Area, India","Brisbane, Australia",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",Sultanate of Oman,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Brisbane, Australia",,,"Sydney, Australia"
Sydney  Australia,"New Delhi Area, India",,,,Australia
Sydney  Australia,"Sydney, Australia","Sydney Area, Australia","Brisbane Area, Australia",QLD and NSW,"Sydney, Australia"
Sydney  Australia,"Brisbane, Australia","Brisbane, Australia",,"Brisbane, Australia","Brisbane, Australia"
Sydney  Australia,"Sydney, Australia",Sydney,India,India,"Sydney, Australia"
Sydney  Australia,"Baulkham Hills, New South Wales, Australia","Mascot, New South Wales, Australia","Mumbai Area, India",Andheri (W) Mumbai,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Brisbane, Australia","Brisbane, Australia","Brisbane, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Brisbane, Australia",Gold Coast,"Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Kolkata Area, India","Kolkata Area, India","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Mosman, Sydney",Gladstone,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Brisbane, Australia","Miles, Australia","Brisbane, Australia","Sydney, Australia"
Sydney  Australia,"Shenzhen, Guangdong, China","Suwon, Gyeonggi-do, Korea","Suwon, Gyeonggi-do, Korea","Brisbane, Australia","Stanmore, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Brisbane, Australia",Asia Pacific,,"Sydney, Australia"
Sydney  Australia,"London, United Kingdom","London, United Kingdom","London, United Kingdom","London, United Kingdom","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Brisbane, Australia","Brisbane, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",Mains Road and Kessels Road Intersection Upgrade | Gateway Upgrade South,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,,Napoleon Perdis Headquarters - Alexandria,"sydney area, australia","Melbourne Area, Australia",Australia
Sydney  Australia,"London, United Kingdom",,,"Brisbane, Australia",Australia
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney area, Australia","Sydney Area, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,"Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,Greater New York City Area,San Francisco Bay Area,"Sydney, Australia","Queensland, Australia","Sydney, Australia"
Sydney  Australia,"Bangalore, India",,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","London, United Kingdom",,"Sydney, Australia"
Sydney  Australia,Brisbane,,,,"Hyderabad Area, India"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Townsville, Australia","Townsville, Australia","Sydney, Australia"
Sydney  Australia,"Mascot, Sydney","Cairns, QLD, Australia",Mount Isa,Mareeba QLD,"Sydney, Australia"
Sydney  Australia,Greater St. Louis Area,"Sydney, Australia",Rebranded in Jan 2018 to Include-Empower.Com,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Townsville, Australia","Townsville, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Brisbane, Australia","Brisbane, Australia",,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",San Francisco Bay Area,San Francisco Bay Area,San Francisco Bay Area,"Surry Hills, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",Sydney & Melbourne,North Sydney,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,Chatswood Sydney,Devon uk/Menorca Spain,"Trusham, UK","Dawlish, UK","Parliament House, New South Wales, Australia"
Sydney  Australia,Mussorie,"Sonipat, Haryana","Exeter, United Kingdom","Mumbai Area, India","Unsw Sydney, New South Wales, Australia"
Sydney  Australia,"London, United Kingdom","London, United Kingdom",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,"Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,"Melbourne, Australia","Mumbai, Maharashtra, India",,,"Sydney, Australia"
Sydney  Australia,"Chatswood, Sydney",,,,"Seven Hills, New South Wales, Australia"
Sydney  Australia,"Gurgaon, India","Gurgaon, India","Gurgaon, India",,"Sydney, Australia"
Sydney  Australia,National Institute of Technology Agartala,Nit agartala,"Guwahati Area, India",,"Girraween, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia",Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Melbourne, Australia","Wonboyn, New South Wales","Victoria, Australia","Sydney, Australia"
Sydney  Australia,"Melbourne, Australia","Melbourne, Australia",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Gujarat, India",,,"Sydney, Australia"
Sydney  Australia,,,,,"Sydney, Australia"
Sydney  Australia,Maquarie Park NSW,Sydney,Optus Centre Sydney,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,"Gurgaon, India","Gurgaon, India","Faridabad, Haryana",India,"Macquarie Park, New South Wales, Australia"
Sydney  Australia,"Mohali, India",,,,"Chandigarh Area, India"
Sydney  Australia,"Mumbai Area, India","Mumbai Area, India",,,"Mumbai Area, India"
Sydney  Australia,"Ahmedabad, Gujarat, India",,,,"Hyderabad, Telangana, India"
Sydney  Australia,"Sydney, Australia",,,,"Sydney, Australia"
Sydney  Australia,,"Cochin Area, India",,,"Thrissur, Kerala, India"
Sydney  Australia,"Sydney, Australia",,,London,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney Area, Australia",St Leonards,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",,Australia
Sydney  Australia,Sydney CDB,,International,,"Pyrmont, New South Wales, Australia"
Sydney  Australia,,,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney Area, Australia","Pyrmont, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",Australia,"Sydney, Australia"
Sydney  Australia,,"Canberra, Australia",Hong Kong,"Sydney, Australia","Canberra, Australia"
Sydney  Australia,Dhaka,Dhaka,"Dhaka, Bangladesh",,"Sydney, Australia"
Sydney  Australia,"Kolkata Area, India",,,,"Eastwood, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,"Mumbai Area, India",,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",North Ryde,"Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
